name,subcat,size,retail_price
"كومر 1 1/2""",محابس,"1 1/2""",729.89
"كومر 1 1/2""",وصلات لصق انجليزي,"1 1/2""",130.89
"كومر 1 1/2""",محابس,"1 1/2""",673.19
"كومر 1 1/2""",صمامات,"1 1/2""",723.15
"كومر 1 1/2""",وصلات سن,"1 1/2""",52.13
"كومر 1 1/2""",وصلات سن,"1 1/2""",154.57
"كومر 1 1/2""*1 1/2""",محولات,"1 1/2""*1 1/2""",130.33
"كومر 1 1/2""*1 1/4""",وصلات لصق انجليزي,"1 1/2""*1 1/4""",16.29
"كومر 1 1/2""*1""",وصلات لصق انجليزي,"1 1/2""*1""",16.29
"كومر 1 1/2""*1""",وصلات لصق انجليزي,"1 1/2""*1""",114.01
"كومر 1 1/2""*1/2""",وصلات لصق انجليزي,"1 1/2""*1/2""",74.80
"كومر 1 1/2""*3/4""",وصلات لصق انجليزي,"1 1/2""*3/4""",16.29
"كومر 1 1/4""",وصلات لصق انجليزي,"1 1/4""",112.80
"كومر 1 1/4""",محابس,"1 1/4""",448.19
"كومر 1 1/4""",محابس,"1 1/4""",623.72
"كومر 1 1/4""",وصلات سن,"1 1/4""",133.35
"كومر 1 1/4""",وصلات سن,"1 1/4""",49.10
"كومر 1 1/4""*1""",وصلات لصق انجليزي,"1 1/4""*1""",8.45
"كومر 1""",صمامات,"1""",534.03
"كومر 1""",محابس,"1""",508.51
"كومر 1""",وصلات سن,"1""",20.61
"كومر 1""",وصلات سن,"1""",98.81
"كومر 1""",وصلات لصق انجليزي,"1""",83.85
"كومر 1""",محابس,"1""",297.39
"كومر 1"" x 3/4""",وصلات لصق انجليزي,"1"" x 3/4""",7.24
"كومر 1""*1/2""",وصلات لصق انجليزي,"1""*1/2""",7.24
"كومر 1/2""",وصلات سن,"1/2""",59.41
"كومر 1/2""",وصلات سن,"1/2""",15.76
"كومر 1/2""",محابس,"1/2""",335.99
"كومر 1/2""",وصلات لصق انجليزي,"1/2""",50.07
"كومر 1/2""",محابس,"1/2""",216.56
"كومر 110*4""",محابس,"110*4""",4238.85
"كومر 160*1.5""",سرج وجلبة سن,"160*1.5""",721.33
كومر 160*110MM,مسلوب وفلنشة,160*110MM,661.12
"كومر 2""",صمامات,"2""",1014.10
"كومر 2""",وصلات سن,"2""",240.03
"كومر 2""",وصلات سن,"2""",63.04
"كومر 2""",سرج وجلبة سن,"2""",724.96
"كومر 2""",وصلات لصق انجليزي,"2""",203.28
"كومر 2""",وصلات لصق انجليزي,"2""",79.02
"كومر 2""",محابس,"2""",986.25
"كومر 2""",محابس,"2""",1071.90
"كومر 2""*1 1/2""",وصلات لصق انجليزي,"2""*1 1/2""",32.58
"كومر 2""*1 1/2""",وصلات لصق انجليزي,"2""*1 1/2""",571.85
"كومر 2""*1""",وصلات سن,"2""*1""",218.22
"كومر 2""*1""",وصلات لصق انجليزي,"2""*1""",268.43
"كومر 2""*1""",وصلات لصق انجليزي,"2""*1""",32.58
"كومر 2""*2""",محابس,"2""*2""",944.39
"كومر 2""*3/4""",وصلات لصق انجليزي,"2""*3/4""",136.93
"كومر 20*1/2""",وصلات لصق انجليزي,"20*1/2""",9.05
"كومر 20*3/4""",محولات,"20*3/4""",72.14
كومر 200*160MM,مسلوب وفلنشة,200*160MM,1628.07
"كومر 25*3/4""",وصلات لصق انجليزي,"25*3/4""",12.07
كومر 25MM,مسلوب وفلنشة,25MM,109.56
"كومر 3""",محابس,"3""",4389.58
"كومر 3""",وصلات سن,"3""",710.42
"كومر 3""",محابس,"3""",2236.11
"كومر 3""",وصلات لصق انجليزي,"3""",114.62
"كومر 3""*1 1/2""",وصلات لصق انجليزي,"3""*1 1/2""",85.66
"كومر 3""*1 1/2""",وصلات لصق انجليزي,"3""*1 1/2""",407.78
"كومر 3""*2""",وصلات لصق انجليزي,"3""*2""",85.66
"كومر 3""*2""",وصلات لصق انجليزي,"3""*2""",407.78
"كومر 3/4""",وصلات سن,"3/4""",72.14
"كومر 3/4""",محابس,"3/4""",255.76
"كومر 3/4""",وصلات لصق انجليزي,"3/4""",61.54
