id,name,size,subcategory_id
81dda41d-8d6b-4b5c-8792-0e2cf675baa7,3/4 مم 25 مانع ارتداد أسود بﻼكور أنثي,مانع,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
20664613-94f8-4c3d-a1bb-1a296e74290f,3/4 مم 25 مانع ارتداد أسود بﻼكور ذكر,مانع,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
637d2d58-fe9c-4faa-bdf4-944fcf27e021,UVمم بسوكت أسود 50/مم 25 بطارية قصيرة لحام,لحام,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
2d29422b-7f93-4d45-a18e-c2efc7648687,UVمم بسوكت أسود 50/مم 32 بطارية قصيرة لحام,لحام,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
49e80157-60e7-4193-bfb8-350d33449c74,UVمم بسوكت أسود 63/مم 25 بطارية قصيرة لحام,لحام,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
41cd09bf-5c94-4848-8eca-eed39e6ffb31,UVمم بسوكت أسود 63/مم 32 بطارية قصيرة لحام,لحام,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
043770d8-c674-4588-8677-65321c03bb02,UVمم لحام بدون سوكت أسود 32/مم 50 بطارية,32/مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
3b967039-d776-4559-b2ba-57a0fd0c2cbc,UVمم لحام بدون سوكت أسود 32/مم 63 بطارية,32/مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
aeecec74-3b05-4c19-9a1f-8a49def64426,UVمم لحام بسوكت أسود 32/مم 50 بطارية,32/مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
d5530a36-7e2e-41e7-8164-6acb6bba5f63,UVمم لحام بسوكت أسود 32/مم 63 بطارية,32/مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
ab915cc1-ad19-46e7-bb1a-5c121736a84e,بردة لحام محبس بلية PP-R 20 مم,مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
6bf872e2-ef4c-4afc-a4f1-3065c98f64ba,بردة لحام محبس بلية PP-R 20 مم أسود,مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
276c3e6a-62e3-4622-8692-55da67a4e344,بردة لحام محبس بلية PP-R 25 مم,مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
da16547b-0403-4d7d-8336-556d24f6067a,بردة لحام محبس بلية PP-R 25 مم أسود,مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
371c9d11-fae7-4b50-8232-f8add032459c,بردة لحام محبس بلية PP-R 32 مم,مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
7d6306ff-4498-4658-97d4-86b0e6756024,بردة لحام محبس بلية PP-R 32 مم أسود,مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
503762ea-3e21-454d-8595-d943fcb26683,بردة لحام محبس بلية PP-R 50 مم,مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
11586936-9ea9-4380-a9d8-0a43d7ccfc4c,بردة لحام محبس بلية PP-R 50 مم أسود,مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
1ec591b1-b761-4cc8-9b55-0dc7c6c3de77,بردة لحام محبس بلية PP-R 63 مم,مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
d0ba2021-07ae-4c51-a7f7-d1d0cd0621b1,بردة لحام محبس بلية PP-R 63 مم أسود,مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
1b291e83-6b20-4d5e-b653-6a8098f0a7e7,بردة لحام محبس بلية PP-R 63 مم أسود,مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
a1a9cdf7-5454-4bb9-b336-028e019324fb,بطارية متغيرة بسن 1/2 × 20 مم,مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
b987396e-5361-4492-855f-0741fcc74a6c,بطارية متغيرة بسن 1/2 × 25 مم,مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
f0c7ff82-42e9-4a9e-b68d-efeac11b0df2,بوصة 3/4 مم 25 مانع ارتداد بﻼكور أنثي,مانع,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
0f1f0190-3ce0-4470-85cf-ef8dca61c19c,بوصة 3/4 مم 25 مانع ارتداد بﻼكور ذكر,مانع,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
630e98d9-b615-4146-8afe-9f225eac10b8,تي بسن خارجي 1/2 × 20 مم,مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
91297176-5776-40d5-a721-516d2c6a9b1c,تي بسن خارجي 1/2 × 25 مم,مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
e3a3641d-85b0-41fb-b6f0-674c2f5260c0,تي بسن خارجي 3/4 × 20 مم,مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
7a881bf1-a564-4dd3-81e6-ff14ac1e7943,تي بسن خارجي 3/4 × 25 مم,مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
ad2b26b1-3793-4d8d-9a0c-b3a0ab628464,تي بسن داخلي 1 × 32 مم,مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
f055ffef-aa8a-4618-9c76-0c5bed78bf45,تي بسن داخلي 1 × 32 مم,مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
f988854e-495d-4b3b-88e9-eae1bbc23dca,تي بسن داخلي 1/2 × 20 مم,مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
877eaf95-8e53-4d00-b72f-f4ad1acb04d8,تي بسن داخلي 1/2 × 25 مم,مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
816e8f9c-844b-4c8f-90b3-cab07eb76c6d,تي بسن داخلي 3/4 × 25 مم,مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
e53571f5-d385-4688-a6ee-30b619c161e8,تي بسن داخلي 3/4 × 32 مم,مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
a45ad0f7-8a38-4be8-982f-a2d8a79b8f57,تي بسن داخلي 3/4 × 32 مم,مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
af5d77b4-6bc1-4c88-9c9d-f992357ae6ee,تي لحام 110 مم,مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
9723d390-b824-4cd1-b669-73448a27c7fd,تي لحام 160 مم,مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
2c5d2876-b6f7-4051-9c70-20e2f86d41a6,تي لحام 20 مم,مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
be725809-5da2-40aa-8714-aa2c4c2a0940,تي لحام 25 مم,مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
7491c710-dd2c-40f7-b9d8-3bbd823becb6,تي لحام 25 مم UV أسود,مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
e6d33ff8-0266-4a93-ba55-378ccdabcd30,تي لحام 32 مم,مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
738c068b-b353-4805-8eb4-f1443776f7a1,تي لحام 32 مم UV أسود,مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
ff324cf9-f9d2-4658-b62f-234cbc68732e,تي لحام 40 مم,مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
6feb4a2a-8e9c-46c6-9518-55ce658535b2,تي لحام 40 مم UV أسود,مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
46bf120b-8b1d-4b5e-ac66-2bf763c2de27,تي لحام 50 مم,مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
a66d53a8-c6a6-444e-98eb-607345424df7,تي لحام 50 مم UV أسود,مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
1a0aac6d-fba2-4c06-b40b-048a6ff94a19,تي لحام 63 مم,مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
ec89d433-b58a-48ea-8e10-ede492cb9374,تي لحام 63 مم UV أسود,مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
0454bf21-859c-4a48-86b1-9d93e4ccec22,تي لحام 75 مم,مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
a744627b-9d10-4f4c-bd93-321ae6082f27,تي لحام 90 مم,مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
ecac71f9-8e38-453d-8d9e-924d2d8d8f03,تي لحام كورنر 25 مم,مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
247becf7-bc94-41a9-a1f8-84015fed8923,تي لحام مسلوب 110/160 مم,مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
